Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 135, 2, 0.5851721, 0.2928014, 0.3903061, 0.79522896, 0.5000436, 0.48588997, 0.7319837, 59.625668, -0.0078560645, 0.9517766, 0.47428504, 0.22743435, 0.11032272, 0.054155022, 0.026908755, -0.26373696, -0.21547423, 4700, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 140, 1, 0.55131066, 0.29103488, 0.38096154, 0.76560295, 0.45255467, 0.47747165, 0.6809742, 58.288773, -0.008129364, 0.9543147, 0.46806708, 0.22878286, 0.11302266, 0.056439094, 0.02848992, -0.24856, -0.25795692, 3162, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 140, 2, 0.52347416, 0.22979538, 0.31938618, 0.7476274, 0.49144033, 0.42407325, 0.7157981, 59.625668, -0.008917087, 0.93654823, 0.4858928, 0.23864084, 0.11852879, 0.05956456, 0.030299423, -0.24645512, -0.23741679, 3323, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 145, 1, 0.58177704, 0.30266452, 0.39817953, 0.8100769, 0.44589004, 0.4793138, 0.6851931, 58.02139, -0.0064518717, 0.93654823, 0.4565539, 0.21775518, 0.10502548, 0.051229876, 0.025272626, -0.2506604, -0.23417582, 3288, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 145, 2, 0.50924784, 0.24319153, 0.32918203, 0.7454759, 0.49026665, 0.46627802, 0.70583093, 56.684494, -0.0109690605, 0.9568528, 0.48242098, 0.23607862, 0.11724104, 0.059102394, 0.030245338, -0.2431476, -0.23030536, 3402, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 150, 1, 0.6230147, 0.30605036, 0.410464, 0.80147517, 0.40938124, 0.47948584, 0.6843166, 59.358288, -0.0045259763, 0.9441624, 0.48209372, 0.23678282, 0.11903319, 0.061599936, 0.033028618, -0.26474142, -0.2277127, 3465, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 150, 2, 0.5247588, 0.24024731, 0.3295971, 0.74611235, 0.4542376, 0.5044618, 0.6665752, 58.02139, -0.011134269, 0.92893404, 0.47725505, 0.23105496, 0.113545015, 0.05666426, 0.028724542, -0.24345554, -0.21823908, 4017, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 155, 1, 0.55535054, 0.31017223, 0.39803532, 0.76284915, 0.45528355, 0.46498334, 0.7049197, 57.219254, -0.0084890565, 0.9390863, 0.47108272, 0.22437418, 0.10804914, 0.05260674, 0.02589626, -0.22952037, -0.20733654, 3544, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 155, 2, 0.52342224, 0.23686148, 0.32613766, 0.75632703, 0.4949329, 0.49689484, 0.72312677, 59.893047, -0.009940057, 0.9492386, 0.49345285, 0.24888633, 0.12890793, 0.0689298, 0.038262393, -0.24790655, -0.24928527, 4101, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 160, 1, 0.5526024, 0.29383188, 0.3836617, 0.7481558, 0.4632021, 0.43278947, 0.71439964, 55.88235, -0.008590887, 0.93654823, 0.47732398, 0.23118182, 0.11364477, 0.05671933, 0.028749397, -0.23894353, -0.21862225, 3592, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 160, 2, 0.50589824, 0.22096276, 0.307582, 0.727, 0.4564165, 0.47409192, 0.7068091, 57.219254, -0.011454089, 0.94162434, 0.48719114, 0.24304642, 0.1248004, 0.066347435, 0.03673192, -0.25379518, -0.23493679, 3020, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 165, 1, 0.6065665, 0.3209186, 0.41975543, 0.78859955, 0.44361115, 0.40892515, 0.7165169, 56.95187, -0.010505528, 0.9543147, 0.48953113, 0.24371238, 0.12370714, 0.064211324, 0.03419028, -0.24943738, -0.24170399, 3770, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 165, 2, 0.50774527, 0.21713528, 0.3041864, 0.74021345, 0.4504986, 0.45729277, 0.713467, 57.219254, -0.010402169, 0.97461927, 0.4894343, 0.24504665, 0.12610182, 0.06706888, 0.03708031, -0.2543633, -0.23938304, 3777, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 170, 1, 0.5540826, 0.27071986, 0.3637263, 0.75740415, 0.41422954, 0.4163237, 0.70358515, 54.812836, -0.008670775, 0.92639595, 0.48007438, 0.23251553, 0.11358683, 0.055954892, 0.027789993, -0.24781187, -0.22451621, 3305, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 170, 2, 0.48164076, 0.21433829, 0.29665852, 0.7044354, 0.47667092, 0.4333833, 0.71760166, 56.417114, -0.009868216, 0.9517766, 0.49605122, 0.2523063, 0.13216163, 0.07161929, 0.040315785, -0.23736061, -0.25091726, 3872, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 175, 1, 0.55403435, 0.2799941, 0.37199292, 0.7431899, 0.3997295, 0.4421608, 0.6837916, 54.278076, -0.009981803, 0.9467005, 0.4775299, 0.23019983, 0.11202856, 0.0550416, 0.02730304, -0.24304551, -0.21892425, 2631, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 175, 2, 0.4815864, 0.22523186, 0.30692077, 0.6987584, 0.4413317, 0.48798063, 0.718244, 54.812836, -0.012240814, 0.94162434, 0.50576925, 0.26410657, 0.14313376, 0.080868274, 0.047759686, -0.23873557, -0.26722577, 4007, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 180, 1, 0.54950494, 0.27778596, 0.36902317, 0.7510254, 0.43960917, 0.40026385, 0.6945786, 55.3476, -0.008410353, 0.93147206, 0.47899708, 0.23161344, 0.11304975, 0.05569626, 0.027695104, -0.24376911, -0.22258592, 3412, 
31, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 0, CosineDistance, 180, 2, 0.49853468, 0.22537906, 0.31042174, 0.72422945, 0.48060396, 0.49093825, 0.75494945, 56.95187, -0.012893733, 0.9517766, 0.51165384, 0.27159172, 0.15031016, 0.0870227, 0.052741677, -0.232108, -0.27587596, 4061, 
