Cluster Number, Weight Method, Reference Weight (factor 2), File Weight, Function Weight, Distance Function, Topics Number, Closest Centroids Init, Precision, Recall, Fmeasure, AdjustedPrecision, AverageClusterPrecision, AverageClusterRecall, AverageClusterAdjustedPrecision, MojoFM, SilhuetteIndex, NonExtremityClusterDistributionL5U100, IntraSimilarityReg1.0, IntraSimilarityReg2.0, IntraSimilarityReg3.0, IntraSimilarityReg4.0, IntraSimilarityReg5.0, IntraInterDistanceIntra1.0Inter1.0, AverageClusterIntraInterDistanceIntra1.0Inter1.0, Time Taken(ms), 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 35, 1, 0.45491803, 0.5127021, 0.4820847, 0.5597678, 0.53340596, 0.73193055, 0.6183428, 58.823524, 0.0027588333, 0.8854167, 0.46487066, 0.26725706, 0.16617452, 0.11338823, 0.08500589, -0.29061753, -0.40610343, 68, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 35, 2, 0.45850623, 0.5103926, 0.48306012, 0.58022124, 0.4178262, 0.70309937, 0.5154461, 58.823524, 0.0027169352, 0.9270833, 0.43249673, 0.25320804, 0.16040836, 0.11121227, 0.0843042, -0.28859848, -0.46213582, 69, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 40, 1, 0.42729306, 0.44110855, 0.4340909, 0.5563013, 0.44399747, 0.6176972, 0.5273766, 50.588238, -0.0028550944, 0.8541667, 0.4641877, 0.26675335, 0.16583678, 0.113128826, 0.08478444, -0.27776283, -0.40127337, 80, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 40, 2, 0.5470738, 0.4965358, 0.5205811, 0.66624266, 0.54867435, 0.6588192, 0.65551335, 60.000004, -0.0019718786, 0.8541667, 0.51036865, 0.2953654, 0.18316865, 0.12350084, 0.09095157, -0.3150685, -0.37279224, 89, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 45, 1, 0.57177615, 0.54272515, 0.55687207, 0.6946472, 0.6039502, 0.7221648, 0.70713246, 64.70589, -0.0023646497, 0.8854167, 0.5032591, 0.29007277, 0.18044095, 0.12245179, 0.090752564, -0.32062593, -0.3546425, 87, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 0, 2, CosineDistance, 45, 2, 0.58838385, 0.53810626, 0.56212306, 0.67003363, 0.6731487, 0.73665804, 0.7584662, 68.23529, -0.0014981051, 0.8229167, 0.47781876, 0.24895689, 0.13123067, 0.06992886, 0.037641823, -0.31867632, -0.3256729, 71, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 5, 1, 0.43432203, 0.4734411, 0.45303866, 0.52842534, 0.4455127, 0.57603806, 0.5365996, 54.117645, -0.027744316, 0.8125, 0.42178816, 0.23192802, 0.13026917, 0.07452571, 0.043306086, -0.19458178, -0.4320607, 13, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 5, 2, 0.3853211, 0.38799077, 0.38665137, 0.49923566, 0.5539812, 0.550257, 0.63788134, 52.941177, -0.043357074, 0.8541667, 0.4914668, 0.30410412, 0.20459025, 0.1498114, 0.118595906, -0.18743514, -0.4228941, 13, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 10, 1, 0.5934718, 0.46189377, 0.5194805, 0.6770525, 0.5618017, 0.5181929, 0.6435443, 64.70589, -0.025505422, 0.8541667, 0.5534629, 0.32173464, 0.19769423, 0.12901305, 0.08953446, -0.3023982, -0.32171097, 17, 
14, TermFrequencyInverseDocumentFrequencyWeight, 0.0, 1, 0, CosineDistance, 10, 2, 0.44057378, 0.4965358, 0.46688384, 0.5536203, 0.4491177, 0.57192296, 0.56341237, 55.29412, -0.0109118, 0.8333333, 0.4561837, 0.25710103, 0.1555494, 0.10191469, 0.0722894, -0.2650363, -0.38756317, 13, 
